@relation dataset

@attribute a numeric
@attribute b numeric
@attribute c numeric
@attribute d numeric
@attribute e numeric
@attribute f numeric
@attribute g numeric
@attribute h numeric
@attribute cycle {yes,no}

@data
2, 2, 3, 1, 10, 3, 13, 11, yes
2, 2, 3, 1, 9, 2, 12, 10, yes
3, 0, 4, 2, 1, 1, 2, 0, yes
3, 0, 4, 2, 2, 0, 3, 1, yes
3, 0, 4, 2, 3, 2, 4, 2, yes
3, 0, 4, 2, 4, 5, 5, 3, yes
3, 0, 4, 2, 5, 2, 6, 4, yes
3, 0, 4, 2, 6, 3, 7, 5, yes
3, 0, 4, 2, 7, 0, 8, 6, yes
3, 0, 4, 2, 8, 2, 9, 7, yes
3, 0, 4, 2, 0, 0, 1, -1, yes
3, 0, 4, 2, 15, 0, 16, 14, yes
3, 0, 4, 2, 14, 0, 15, 13, yes
3, 0, 4, 2, 13, 0, 14, 12, yes
3, 0, 4, 2, 12, 3, 13, 11, yes
3, 0, 4, 2, 11, 0, 12, 10, yes
3, 0, 4, 2, 10, 1, 11, 9, yes
3, 0, 4, 2, 9, 3, 10, 8, yes
4, 1, 5, 3, 1, 0, 3, 1, yes
4, 1, 5, 3, 2, 2, 4, 2, yes
4, 1, 5, 3, 3, 5, 5, 3, yes
4, 1, 5, 3, 4, 2, 6, 4, yes
4, 1, 5, 3, 5, 3, 7, 5, yes
4, 1, 5, 3, 6, 0, 8, 6, yes
4, 1, 5, 3, 7, 2, 9, 7, yes
4, 1, 5, 3, 8, 3, 10, 8, yes
4, 1, 5, 3, 0, 1, 2, 0, yes
4, 1, 5, 3, 15, 0, 17, 15, yes
4, 1, 5, 3, 14, 0, 16, 14, yes
4, 1, 5, 3, 13, 0, 15, 13, yes
4, 1, 5, 3, 12, 0, 14, 12, yes
4, 1, 5, 3, 11, 3, 13, 11, yes
4, 1, 5, 3, 10, 0, 12, 10, yes
4, 1, 5, 3, 9, 1, 11, 9, yes
5, 0, 6, 4, 1, 2, 2, 0, yes
5, 0, 6, 4, 2, 5, 3, 1, yes
5, 0, 6, 4, 3, 2, 4, 2, yes
5, 0, 6, 4, 4, 3, 5, 3, yes
5, 0, 6, 4, 5, 0, 6, 4, yes
5, 0, 6, 4, 6, 2, 7, 5, yes
5, 0, 6, 4, 7, 3, 8, 6, yes
5, 0, 6, 4, 8, 1, 9, 7, yes
5, 0, 6, 4, 0, 0, 1, -1, yes
5, 0, 6, 4, 15, 0, 16, 14, yes
5, 0, 6, 4, 14, 0, 15, 13, yes
5, 0, 6, 4, 13, 0, 14, 12, yes
5, 0, 6, 4, 12, 0, 13, 11, yes
5, 0, 6, 4, 11, 0, 12, 10, yes
5, 0, 6, 4, 10, 3, 11, 9, yes
5, 0, 6, 4, 9, 0, 10, 8, yes
6, 2, 7, 5, 1, 5, 4, 2, yes
6, 2, 7, 5, 2, 2, 5, 3, yes
6, 2, 7, 5, 3, 3, 6, 4, yes
6, 2, 7, 5, 4, 0, 7, 5, yes
6, 2, 7, 5, 5, 2, 8, 6, yes
6, 2, 7, 5, 6, 3, 9, 7, yes
6, 2, 7, 5, 7, 1, 10, 8, yes
6, 2, 7, 5, 8, 0, 11, 9, yes
6, 2, 7, 5, 0, 2, 3, 1, yes
6, 2, 7, 5, 15, 0, 18, 16, yes
6, 2, 7, 5, 14, 0, 17, 15, yes
6, 2, 7, 5, 13, 0, 16, 14, yes
6, 2, 7, 5, 12, 0, 15, 13, yes
6, 2, 7, 5, 11, 0, 14, 12, yes
6, 2, 7, 5, 10, 0, 13, 11, yes
6, 2, 7, 5, 9, 3, 12, 10, yes
